C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/6/13,かぼちゃのシチュー,こしょう,0.04,0,0,0,0
2023/6/13,かぼちゃのシチュー,ローリエ,0.01,0,0,0,0
2023/6/13,かぼちゃのシチュー,調理用牛乳,40,24,1.3,1.5,16
2023/6/13,かぼちゃのシチュー,脱脂粉乳,8,28,2.7,0.1,46
2023/6/13,かぼちゃのシチュー,濃縮スープ（チキン）,5,1,0.2,0,4
2023/6/13,かぼちゃのシチュー,水,60～70,0,0,0,0
2023/6/13,フレンチサラダ,キャベツ,45,8,0.5,0.1,2
2023/6/13,フレンチサラダ,人参,5,1,0,0,2
2023/6/13,フレンチサラダ,きゅうり,5,1,0,0,0
2023/6/13,フレンチサラダ,さとう,0.5,2,0,0,0
2023/6/13,フレンチサラダ,塩,0.27,0,0,0,105
2023/6/13,フレンチサラダ,酢,1.7,1,0,0,0
2023/6/13,フレンチサラダ,こしょう,0.03,0,0,0,0
2023/6/13,フレンチサラダ,からし粉,0.1,0,0,0,0
2023/6/13,フレンチサラダ,サラダ油,1.8,16,0,1.8,0
2023/6/14,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/6/14,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/14,あじのフライ,あじ,35,39,6.9,1.6,46
2023/6/14,あじのフライ,塩,0.07,0,0,0,27
2023/6/14,あじのフライ,こしょう,0.03,0,0,0,0
2023/6/14,あじのフライ,小麦粉,3,10,0.2,0,0
2023/6/14,あじのフライ,小麦粉,3,10,0.2,0,0
2023/6/14,あじのフライ,水,8～12,0,0,0,0
2023/6/14,あじのフライ,パン粉,10,37,1.5,0.7,46
2023/6/14,あじのフライ,油,35,35,0,4,0
2023/6/14,ボイルキャベツ,キャベツ,45,8,0.5,0.1,2
2023/6/14,ボイルキャベツ,中濃ソース,9,12,0.1,0,207
2023/6/14,みそ汁,人参,10,3,0.1,0,3
2023/6/14,みそ汁,大根,20,3,0.1,0,3
2023/6/14,みそ汁,小松菜,5,1,0.1,0,1
2023/6/14,みそ汁,冷凍油揚げ,5,21,1.2,1.7,0
2023/6/14,みそ汁,かつお節,1.5,0,0,0,0
2023/6/14,みそ汁,白みそ,9,16,1.1,0.5,441
2023/6/14,みそ汁,水,120～140,0,0,0,0
2023/6/15,ミートソーススパゲッティ,スパゲッティ,60,208,7.7,1.1,1
2023/6/15,ミートソーススパゲッティ,塩,1.2,0,0,0,0
2023/6/15,ミートソーススパゲッティ,サラダ油,3,12,0,1.3,0
2023/6/15,ミートソーススパゲッティ,豚ひき肉,40,73,8,4.7,20
2023/6/15,ミートソーススパゲッティ,大豆ミート,6,22,2.8,0.2,0
2023/6/15,ミートソーススパゲッティ,人参,10,3,0.1,0,3
