C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/1/30,中華おこわ,グリンピース,3,2,0.2,0,0
2023/1/30,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/30,生揚げの炒め煮,冷凍生揚げ,55,89,5.7,5.8,37
2023/1/30,生揚げの炒め煮,豚肉,30,55,6,3.5,15
2023/1/30,生揚げの炒め煮,人参,10,3,0.1,0,3
2023/1/30,生揚げの炒め煮,ほうれん草,20,4,0.6,0.1,23
2023/1/30,生揚げの炒め煮,しょうが,0.6,0,0,0,0
2023/1/30,生揚げの炒め煮,にんにく,0.04,0,0,0,0
2023/1/30,生揚げの炒め煮,ごま油,0.6,5,0,0.6,0
2023/1/30,生揚げの炒め煮,赤みそ,3.5,6,0.5,0.2,179
2023/1/30,生揚げの炒め煮,しょうゆ,3.5,3,0.3,0,200
2023/1/30,生揚げの炒め煮,さとう,1,4,0,0,0
2023/1/30,生揚げの炒め煮,酒,1,1,0,0,0
2023/1/30,生揚げの炒め煮,一味とうがらし,0.01,0,0,0,0
2023/1/30,生揚げの炒め煮,水,12,0,0,0,0
2023/1/30,生揚げの炒め煮,ごま油,0.6,5,0,0.6,0
2023/1/30,おひたし,白菜,70,9,0.5,0.1,4
2023/1/30,おひたし,しょうゆ,2.3,2,0.2,0,131
2023/1/31,ツナそぼろごはん,米（委託炊飯）,80,274,4.9,0.7,1
2023/1/31,ツナそぼろごはん,ツナ,55,146,9.7,11.9,187
2023/1/31,ツナそぼろごはん,凍り豆腐,6,30,3,2,26
2023/1/31,ツナそぼろごはん,人参,10,3,0.1,0,3
2023/1/31,ツナそぼろごはん,しょうが,0.7,0,0,0,0
2023/1/31,ツナそぼろごはん,しょうゆ,3.9,3,0.3,0,222
2023/1/31,ツナそぼろごはん,さとう,2.6,10,0,0,0
2023/1/31,ツナそぼろごはん,酒,1.5,2,0,0,0
2023/1/31,ツナそぼろごはん,みりん,0.8,2,0,0,0
2023/1/31,牛乳,牛乳,206,126,6.8,7.8,84
2023/1/31,せんべい汁,せんべい,10,36,1.1,0.2,97
2023/1/31,せんべい汁,鶏肉,15,24,2.9,1.5,8
2023/1/31,せんべい汁,冷凍油揚げ,5,21,1.2,1.7,0
2023/1/31,せんべい汁,人参,10,3,0.1,0,3
2023/1/31,せんべい汁,大根,25,3,0.1,0,4
2023/1/31,せんべい汁,えのき,10,3,0.3,0,0
2023/1/31,せんべい汁,長ねぎ,5,1,0,0,0
2023/1/31,せんべい汁,小松菜,15,2,0.2,0,2
2023/1/31,せんべい汁,かつお節,1.5,0,0,0,0
2023/1/31,せんべい汁,塩,0.5,0,0,0,195
2023/1/31,せんべい汁,しょうゆ,2.5,2,0.2,0,143
2023/1/31,せんべい汁,みりん,1,2,0,0,0
2023/1/31,せんべい汁,水,120～130,0,0,0,0
2023/2/1,キムチチャーハン,米,62,212,3.8,0.6,1
2023/2/1,キムチチャーハン,麦,8,27,0.6,0.2,0
2023/2/1,キムチチャーハン,酒,0.8,1,0,0,0
2023/2/1,キムチチャーハン,水,,0,0,0,0
2023/2/1,キムチチャーハン,豚肉,15,27,3,1.8,7
2023/2/1,キムチチャーハン,人参,5,1,0,0,2
