A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/16,切り干し大根のサラダ,人参,10,3,0.1,0,3
2022/5/16,切り干し大根のサラダ,もやし,20,3,0.3,0,0
2022/5/16,切り干し大根のサラダ,きゅうり,5,1,0,0,0
2022/5/16,切り干し大根のサラダ,酢,1.8,1,0,0,0
2022/5/16,切り干し大根のサラダ,しょうゆ,2.7,2,0.2,0,154
2022/5/16,切り干し大根のサラダ,さとう,0.8,3,0,0,0
2022/5/16,切り干し大根のサラダ,サラダ油,1,9,0,1,0
2022/5/16,切り干し大根のサラダ,ごま油,1,9,0,1,0
2022/5/16,切り干し大根のサラダ,一味とうがらし,0.01,0,0,0,0
2022/5/17,ぶどうパン,ぶどうパン,50,250,7.3,3.8,353
2022/5/17,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/17,じゃがいものクリーム煮,鶏肉,40,65,7.6,4,21
2022/5/17,じゃがいものクリーム煮,玉ねぎ,30,9,0.3,0,1
2022/5/17,じゃがいものクリーム煮,じゃがいも,80,42,1.3,0.1,1
2022/5/17,じゃがいものクリーム煮,人参,10,3,0.1,0,3
2022/5/17,じゃがいものクリーム煮,ホールコーン,5,4,0.1,0,11
2022/5/17,じゃがいものクリーム煮,ベーコン,2,8,0.3,0.8,16
2022/5/17,じゃがいものクリーム煮,油,1,9,0,1,0
2022/5/17,じゃがいものクリーム煮,ほうれん草,15,3,0.4,0,17
2022/5/17,じゃがいものクリーム煮,油,2,18,0,2,0
2022/5/17,じゃがいものクリーム煮,バター,1.5,11,0,1.2,11
2022/5/17,じゃがいものクリーム煮,小麦粉,4,14,0.3,0.1,0
2022/5/17,じゃがいものクリーム煮,濃縮スープ（チキン）,3,0,0.1,0,3
2022/5/17,じゃがいものクリーム煮,塩,0.7,0,0,0,273
2022/5/17,じゃがいものクリーム煮,こしょう,0.04,0,0,0,0
2022/5/17,じゃがいものクリーム煮,脱脂粉乳,12,42,4.1,0.1,68
2022/5/17,じゃがいものクリーム煮,白ワイン,1,1,0,0,0
2022/5/17,じゃがいものクリーム煮,ベイリーフ,0.01,0,0,0,0
2022/5/17,じゃがいものクリーム煮,水,70,0,0,0,0
2022/5/17,コールスローサラダ,キャベツ,50,9,0.6,0.1,2
2022/5/17,コールスローサラダ,人参,5,1,0,0,2
2022/5/17,コールスローサラダ,塩,0.27,0,0,0,105
2022/5/17,コールスローサラダ,酢,1.4,1,0,0,0
2022/5/17,コールスローサラダ,こしょう,0.03,0,0,0,0
2022/5/17,コールスローサラダ,サラダ油,1.8,16,0,1.8,0
2022/5/18,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/5/18,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/18,あじのかば焼き,あじ,35,39,6.9,1.6,46
2022/5/18,あじのかば焼き,小麦粉,5,17,0.4,0.1,0
2022/5/18,あじのかば焼き,油,35,22,0,2.5,0
2022/5/18,あじのかば焼き,さとう,4,16,0,0,0
2022/5/18,あじのかば焼き,しょうゆ,3,2,0.2,0,171
2022/5/18,あじのかば焼き,水,,0,0,0,0
2022/5/18,しょうがあえ,キャベツ,35,6,0.4,0.1,1
2022/5/18,しょうがあえ,もやし,20,3,0.3,0,0
2022/5/18,しょうがあえ,しょうが,0.8,0,0,0,0
2022/5/18,しょうがあえ,ほうれん草,10,2,0.3,0,11
2022/5/18,しょうがあえ,しょうゆ,2.6,2,0.2,0,148
2022/5/18,豚汁,豚肉,20,36,4,2.3,10
2022/5/18,豚汁,人参,10,3,0.1,0,3
2022/5/18,豚汁,じゃがいも,30,16,0.5,0,0
2022/5/18,豚汁,大根,25,3,0.1,0,4
2022/5/18,豚汁,玉ねぎ,20,6,0.2,0,0
2022/5/18,豚汁,冷凍豆腐,30,18,1.5,0.8,1
2022/5/18,豚汁,かつお節,1.5,0,0,0,0
2022/5/18,豚汁,白みそ,10,18,1.3,0.6,490
2022/5/18,豚汁,水,100～120,0,0,0,0
2022/5/19,黒パン,黒パン,50,239,7.2,3.8,359
2022/5/19,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/19,ミートソースグラタン,マカロニ,25,87,3.2,0.5,0
2022/5/19,ミートソースグラタン,塩,0.4,0,0,0,0
2022/5/19,ミートソースグラタン,豚ひき肉,30,55,6,3.5,15
2022/5/19,ミートソースグラタン,大豆ミート,3,11,1.4,0.1,0
2022/5/19,ミートソースグラタン,玉ねぎ,40,12,0.4,0,1
2022/5/19,ミートソースグラタン,人参,10,3,0.1,0,3
2022/5/19,ミートソースグラタン,にんにく,0.5,1,0,0,0
2022/5/19,ミートソースグラタン,セロリ,2,0,0,0,0
2022/5/19,ミートソースグラタン,油,0.7,6,0,0.7,0
2022/5/19,ミートソースグラタン,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/5/19,ミートソースグラタン,トマトケチャップ,10,11,0.2,0,120
2022/5/19,ミートソースグラタン,デミグラスソース,5,4,0.1,0.2,26
2022/5/19,ミートソースグラタン,塩,0.4,0,0,0,156
2022/5/19,ミートソースグラタン,こしょう,0.01,0,0,0,0
2022/5/19,ミートソースグラタン,さとう,0.4,2,0,0,0
2022/5/19,ミートソースグラタン,中濃ソース,0.5,1,0,0,12
2022/5/19,ミートソースグラタン,小麦粉,4,14,0.3,0.1,0
2022/5/19,ミートソースグラタン,水,50,0,0,0,0
2022/5/19,ミートソースグラタン,とろけるチーズ,10,31,2.3,2.6,110
2022/5/19,いろどりスープ,ベーコン,2,8,0.3,0.8,16
2022/5/19,いろどりスープ,人参,5,1,0,0,2
2022/5/19,いろどりスープ,キャベツ,15,3,0.2,0,1
2022/5/19,いろどりスープ,卵,10,12,1,0.9,12
2022/5/19,いろどりスープ,わかめ,0.3,1,0.1,0,11
2022/5/19,いろどりスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2022/5/19,いろどりスープ,しょうゆ,1,1,0.1,0,57
2022/5/19,いろどりスープ,塩,0.9,0,0,0,351
2022/5/19,いろどりスープ,片栗粉,1.5,5,0,0,0
2022/5/19,いろどりスープ,水,120～130,0,0,0,0
2022/5/20,チキンピラフ,米,62,212,3.8,0.6,1
2022/5/20,チキンピラフ,麦,8,27,0.6,0.2,0
2022/5/20,チキンピラフ,酒,0.8,1,0,0,0
2022/5/20,チキンピラフ,水,,0,0,0,0
2022/5/20,チキンピラフ,鶏肉,15,24,2.9,1.5,8
2022/5/20,チキンピラフ,人参,10,3,0.1,0,3
2022/5/20,チキンピラフ,玉ねぎ,20,6,0.2,0,0
2022/5/20,チキンピラフ,ホールコーン,6,5,0.1,0,13
2022/5/20,チキンピラフ,油,1.5,13,0,1.5,0
