D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/7/13,とり肉のクリーム煮,ベイリーフ,0.01,0,0,0,0
2022/7/13,とり肉のクリーム煮,水,35,0,0,0,0
2022/7/13,キャベツのサラダ,キャベツ,40,7,0.4,0.1,2
2022/7/13,キャベツのサラダ,ホールコーン,20,16,0.5,0.1,42
2022/7/13,キャベツのサラダ,しょうゆ,1.3,1,0.1,0,74
2022/7/13,キャベツのサラダ,塩,0.09,0,0,0,35
2022/7/13,キャベツのサラダ,酢,0.6,0,0,0,0
2022/7/13,キャベツのサラダ,ごま油,0.7,6,0,0.7,0
2022/7/14,ビビンバ,米（委託炊飯）,80,274,4.9,0.7,1
2022/7/14,ビビンバ,豚ひき肉,50,91,10,5.9,25
2022/7/14,ビビンバ,大豆ミート,5,18,2.3,0.2,0
2022/7/14,ビビンバ,長ねぎ,4.5,1,0,0,0
2022/7/14,ビビンバ,しょうが,0.4,0,0,0,0
2022/7/14,ビビンバ,にんにく,0.1,0,0,0,0
2022/7/14,ビビンバ,油,0.5,4,0,0.5,0
2022/7/14,ビビンバ,酒,0.8,1,0,0,0
2022/7/14,ビビンバ,さとう,1,4,0,0,0
2022/7/14,ビビンバ,しょうゆ,3,2,0.2,0,171
2022/7/14,ビビンバ,赤みそ,1,2,0.1,0.1,51
2022/7/14,ビビンバ,一味とうがらし,0.02,0,0,0,0
2022/7/14,ビビンバ,もやし,35,5,0.6,0,1
2022/7/14,ビビンバ,人参,8,2,0.1,0,2
2022/7/14,ビビンバ,小松菜,20,3,0.3,0,3
2022/7/14,ビビンバ,しょうゆ,2.5,2,0.2,0,143
2022/7/14,ビビンバ,ごま油,0.3,3,0,0.3,0
2022/7/14,ビビンバ,白ごま,1,6,0.2,0.5,0
2022/7/14,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/14,ワンタンスープ,ウェーブワンタン,7,25,0.8,0.1,11
2022/7/14,ワンタンスープ,鶏肉,20,32,3.8,2,10
2022/7/14,ワンタンスープ,人参,10,3,0.1,0,3
2022/7/14,ワンタンスープ,玉ねぎ,40,12,0.4,0,1
2022/7/14,ワンタンスープ,キャベツ,30,5,0.3,0.1,1
2022/7/14,ワンタンスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2022/7/14,ワンタンスープ,塩,0.8,0,0,0,312
2022/7/14,ワンタンスープ,こしょう,0.03,0,0,0,0
2022/7/14,ワンタンスープ,しょうゆ,2,2,0.2,0,114
2022/7/14,ワンタンスープ,水,120～130,0,0,0,0
2022/7/15,麦ごはん,米,70,239,4.3,0.6,1
2022/7/15,麦ごはん,麦,10,33,0.7,0.2,0
2022/7/15,麦ごはん,油,0.3,3,0,0.3,0
2022/7/15,麦ごはん,酒,1,1,0,0,0
2022/7/15,麦ごはん,水,,0,0,0,0
2022/7/15,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/15,豚肉とじゃがいもの揚げ煮,豚肉,40,68,8.2,4.1,19
2022/7/15,豚肉とじゃがいもの揚げ煮,塩,0.08,0,0,0,31
2022/7/15,豚肉とじゃがいもの揚げ煮,片栗粉,4,14,0,0,0
2022/7/15,豚肉とじゃがいもの揚げ煮,じゃがいも,80,42,1.3,0.1,1
2022/7/15,豚肉とじゃがいもの揚げ煮,油,35,70,0,8,0
2022/7/15,豚肉とじゃがいもの揚げ煮,さとう,5.7,22,0,0,0
2022/7/15,豚肉とじゃがいもの揚げ煮,しょうゆ,3.8,3,0.3,0,217
2022/7/15,豚肉とじゃがいもの揚げ煮,水,1～1.5,0,0,0,0
2022/7/15,しょうがあえ,キャベツ,22,4,0.2,0,1
2022/7/15,しょうがあえ,もやし,25,4,0.4,0,0
2022/7/15,しょうがあえ,人参,8,2,0.1,0,2
2022/7/15,しょうがあえ,しょうが,0.8,0,0,0,0
2022/7/15,しょうがあえ,小松菜,15,2,0.2,0,2
2022/7/15,しょうがあえ,しょうゆ,2.8,2,0.2,0,160
2022/7/15,味付けおかか,味付けおかか,4,10,1.2,0.1,148
2022/7/19,カレーピラフ,米,62,212,3.8,0.6,1
2022/7/19,カレーピラフ,麦,8,27,0.6,0.2,0
2022/7/19,カレーピラフ,酒,0.8,1,0,0,0
2022/7/19,カレーピラフ,水,,0,0,0,0
2022/7/19,カレーピラフ,鶏肉,15,24,2.9,1.5,8
2022/7/19,カレーピラフ,人参,10,3,0.1,0,3
2022/7/19,カレーピラフ,玉ねぎ,20,6,0.2,0,0
2022/7/19,カレーピラフ,油,1,9,0,1,0
2022/7/19,カレーピラフ,濃縮スープ（チキン）,1,0,0,0,1
2022/7/19,カレーピラフ,塩,0.8,0,0,0,312
2022/7/19,カレーピラフ,こしょう,0.02,0,0,0,0
2022/7/19,カレーピラフ,カレー粉,0.4,1,0.1,0,0
2022/7/19,カレーピラフ,ターメリック,0.05,0,0,0,0
2022/7/19,カレーピラフ,グリンピース,3,2,0.2,0,0
2022/7/19,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/19,ミートボール,肉団子,60,133,9.1,8.2,81
2022/7/19,ミートボール,油,35,11,0,1.2,0
2022/7/19,ミートボール,トマトケチャップ,5,5,0.1,0,60
2022/7/19,ミートボール,中濃ソース,3,4,0,0,69
2022/7/19,コールスローサラダ,キャベツ,50,9,0.6,0.1,2
2022/7/19,コールスローサラダ,人参,5,1,0,0,2
2022/7/19,コールスローサラダ,塩,0.27,0,0,0,105
2022/7/19,コールスローサラダ,酢,1.4,1,0,0,0
2022/7/19,コールスローサラダ,こしょう,0.03,0,0,0,0
2022/7/19,コールスローサラダ,サラダ油,1.8,16,0,1.8,0
