B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/10,ミートソースグラタン,トマトケチャップ,10,11,0.2,0,120,,,,,,,,,
2023/11/10,ミートソースグラタン,デミグラスソース,5,4,0.1,0.2,26,,,,,,,,,
2023/11/10,ミートソースグラタン,塩,0.4,0,0,0,156,,,,,,,,,
2023/11/10,ミートソースグラタン,こしょう,0.01,0,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,さとう,0.4,2,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,中濃ソース,0.5,1,0,0,12,,,,,,,,,
2023/11/10,ミートソースグラタン,小麦粉,4,14,0.3,0.1,0,,,,,,,,,
2023/11/10,ミートソースグラタン,水,50～60,0,0,0,0,,,,,,,,,
2023/11/10,ミートソースグラタン,とろけるチーズ,8,25,1.8,2.1,88,,,,,,,,,
2023/11/10,コールスローサラダ,キャベツ,45,8,0.5,0.1,2,,,,,,,,,
2023/11/10,コールスローサラダ,人参,5,1,0,0,2,,,,,,,,,
2023/11/10,コールスローサラダ,ホールコーン,10,8,0.2,0.1,21,,,,,,,,,
2023/11/10,コールスローサラダ,塩,0.3,0,0,0,117,,,,,,,,,
2023/11/10,コールスローサラダ,酢,1.5,1,0,0,0,,,,,,,,,
2023/11/10,コールスローサラダ,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/10,コールスローサラダ,サラダ油,2,18,0,2,0,,,,,,,,,
2023/11/13,食パン,食パン,60,245,8.3,4.6,421,,,,,,,,,
2023/11/13,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,鶏肉,45,73,8.6,4.5,23,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,塩,0.2,0,0,0,78,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,こしょう,0.02,0,0,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,白ワイン,2,2,0,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,玉ねぎ,20,6,0.2,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,人参,15,4,0.1,0,5,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,油,0.7,6,0,0.7,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,さつまいも,50,57,0.5,0.1,5,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,しめじ,7,1,0.2,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,えのき,8,3,0.2,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,マッシュルーム,5,1,0.2,0,18,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,バター,0.7,5,0,0.6,5,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,塩,0.5,0,0,0,195,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,こしょう,0.04,0,0,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,ローリエ,0.01,0,0,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,調理用牛乳,35,21,1.2,1.3,14,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,脱脂粉乳,9,32,3.1,0.1,51,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,濃縮スープ（チキン）,5,1,0.2,0,4,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,水,60～70,0,0,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,米粉,4,14,0.2,0,0,,,,,,,,,
2023/11/13,さつまいもときのこのシチュー,水,,0,0,0,0,,,,,,,,,
2023/11/13,もやしのサラダ,もやし,43,6,0.7,0,1,,,,,,,,,
2023/11/13,もやしのサラダ,きゅうり,7,1,0.1,0,0,,,,,,,,,
2023/11/13,もやしのサラダ,ホールコーン,10,8,0.2,0.1,21,,,,,,,,,
2023/11/13,もやしのサラダ,しょうゆ,2.6,2,0.2,0,148,,,,,,,,,
2023/11/13,もやしのサラダ,酢,1.8,1,0,0,0,,,,,,,,,
2023/11/13,もやしのサラダ,さとう,0.2,1,0,0,0,,,,,,,,,
2023/11/13,もやしのサラダ,サラダ油,1.4,12,0,1.4,0,,,,,,,,,
2023/11/13,もやしのサラダ,白ごま,1,6,0.2,0.5,0,,,,,,,,,
2023/11/13,ジャム,りんごジャム,15,30,0,0,1,,,,,,,,,
2023/11/14,中華おこわ,米,30,103,1.8,0.3,0,,,,,,,,,
2023/11/14,中華おこわ,麦,5,17,0.4,0.1,0,,,,,,,,,
2023/11/14,中華おこわ,もち米,35,120,2.2,0.4,0,,,,,,,,,
2023/11/14,中華おこわ,酒,0.8,1,0,0,0,,,,,,,,,
2023/11/14,中華おこわ,水,,0,0,0,0,,,,,,,,,
2023/11/14,中華おこわ,しょうが,0.5,0,0,0,0,,,,,,,,,
2023/11/14,中華おこわ,豚肉,10,18,2,1.2,5,,,,,,,,,
2023/11/14,中華おこわ,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/14,中華おこわ,干し椎茸,0.5,1,0.1,0,0,,,,,,,,,
2023/11/14,中華おこわ,ごま油,1.2,11,0,1.2,0,,,,,,,,,
2023/11/14,中華おこわ,さとう,0.8,3,0,0,0,,,,,,,,,
2023/11/14,中華おこわ,塩,0.3,0,0,0,117,,,,,,,,,
2023/11/14,中華おこわ,しょうゆ,3.2,2,0.2,0,182,,,,,,,,,
2023/11/14,中華おこわ,酒,1,1,0,0,0,,,,,,,,,
2023/11/14,中華おこわ,グリンピース,3,2,0.2,0,0,,,,,,,,,
2023/11/14,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/14,とりたま煮,鶏肉,60,97,11.4,6.1,31,,,,,,,,,
2023/11/14,とりたま煮,うずら卵水煮,30,49,3.3,4.2,63,,,,,,,,,
2023/11/14,とりたま煮,しょうが,0.6,0,0,0,0,,,,,,,,,
2023/11/14,とりたま煮,さとう,2.5,10,0,0,0,,,,,,,,,
2023/11/14,とりたま煮,しょうゆ,3.5,3,0.3,0,200,,,,,,,,,
2023/11/14,ナムル,もやし,40,6,0.7,0,1,,,,,,,,,
2023/11/14,ナムル,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/14,ナムル,小松菜,20,3,0.3,0,3,,,,,,,,,
2023/11/14,ナムル,しょうゆ,2.5,2,0.2,0,143,,,,,,,,,
2023/11/14,ナムル,ごま油,0.5,4,0,0.5,0,,,,,,,,,
2023/11/14,ナムル,白ごま,1,6,0.2,0.5,0,,,,,,,,,
2023/11/15,あんかけうどん,干しうどん,40,133,3.4,0.4,202,,,,,,,,,
2023/11/15,あんかけうどん,鶏肉,15,24,2.9,1.5,8,,,,,,,,,
2023/11/15,あんかけうどん,冷凍油揚げ,4,17,0.9,1.4,0,,,,,,,,,
2023/11/15,あんかけうどん,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/15,あんかけうどん,白菜,35,4,0.3,0,2,,,,,,,,,
2023/11/15,あんかけうどん,油,1,9,0,1,0,,,,,,,,,
2023/11/15,あんかけうどん,長ねぎ,15,3,0.1,0,0,,,,,,,,,
2023/11/15,あんかけうどん,ほうれん草,15,3,0.4,0,17,,,,,,,,,
2023/11/15,あんかけうどん,かつお節,1.8,0,0,0,0,,,,,,,,,
